record_id,equipment_id,equipment_type,operating_hours,engine_temperature_C,vibration_level,oil_pressure_bar,fuel_rate_L_per_hr,load_tons,ambient_temperature_C,failure
42,EQ0108,Crusher,1659,96.01,0.493,2.56,39.52,141.7,30.3,0
43,EQ0055,Loader,1841,92.07,0.527,2.65,42.52,60.8,25.19,0
44,EQ0064,Crusher,5930,96.41,0.231,3.01,41.21,123.5,30.67,0
45,EQ0131,Haul Truck,7623,95.18,0.387,2.64,43.53,114.3,34.85,0
46,EQ0051,Crusher,725,87.11,0.456,3.04,37.96,148.6,35.6,0
47,EQ0135,Excavator,1790,100.02,0.531,2.81,36.15,131.6,26.39,0
48,EQ0021,Crusher,8382,94.61,0.44,3.08,33.48,134.5,31.67,0
49,EQ0073,Loader,6410,87.09,0.344,3.44,28.69,105.5,21.12,0
50,EQ0167,Excavator,3106,112.93,0.382,3.42,31.02,120.0,23.67,0
51,EQ0018,Haul Truck,4402,98.81,0.681,3.64,37.08,148.3,20.96,0
52,EQ0132,Haul Truck,1188,93.77,0.537,3.42,27.18,118.1,27.73,0
53,EQ0089,Drill,6107,106.32,0.592,3.12,28.94,125.2,22.84,0
54,EQ0060,Excavator,4711,109.73,0.365,2.78,48.34,73.9,18.88,0
55,EQ0014,Drill,9472,93.84,0.057,2.81,41.79,117.9,25.68,1
56,EQ0009,Excavator,8028,97.78,0.422,2.56,36.39,59.6,17.63,0
57,EQ0090,Excavator,4590,87.1,0.37,3.0,58.17,104.5,35.96,0
58,EQ0053,Loader,8478,93.82,0.552,3.35,26.81,121.9,24.65,0
59,EQ0130,Drill,1697,93.41,0.993,2.64,47.8,143.0,33.91,1
60,EQ0084,Loader,3847,96.48,0.604,2.98,39.11,90.0,25.05,0
61,EQ0092,Excavator,2770,97.66,0.91,2.66,46.28,131.2,20.83,0
62,EQ0111,Haul Truck,8531,99.48,0.585,3.1,40.87,164.1,35.05,1
63,EQ0188,Excavator,2680,96.9,0.406,2.73,25.02,100.8,28.53,0
64,EQ0199,Loader,7532,85.31,0.552,2.63,40.76,73.6,39.32,0
65,EQ0172,Drill,8430,87.49,0.767,2.66,42.68,128.7,25.2,1
66,EQ0008,Drill,2606,90.63,0.774,3.25,22.46,84.2,25.33,0
67,EQ0175,Loader,4825,92.74,0.414,2.95,55.55,95.4,34.03,0
68,EQ0035,Drill,4400,103.41,0.538,2.79,42.49,147.7,34.07,0
69,EQ0081,Crusher,8859,85.7,0.286,3.13,45.38,176.3,28.92,1
70,EQ0164,Haul Truck,7102,92.14,0.624,2.79,30.68,90.0,48.01,0
71,EQ0050,Haul Truck,9173,102.62,0.733,3.56,45.52,97.9,26.32,1
72,EQ0104,Haul Truck,6231,92.6,0.506,2.51,48.72,106.8,20.38,0
73,EQ0132,Drill,8931,98.68,0.4,2.91,42.03,103.6,21.98,0
74,EQ0002,Drill,4637,93.88,0.554,2.3,39.93,178.0,26.35,0
75,EQ0134,Excavator,2435,97.05,0.563,2.83,32.85,104.1,37.11,0
76,EQ0054,Excavator,4421,93.17,0.512,2.16,38.27,108.4,26.88,0
77,EQ0106,Haul Truck,3085,100.34,0.527,3.37,35.9,168.5,37.4,0
78,EQ0004,Crusher,659,82.64,0.474,3.38,44.58,137.3,30.61,0
79,EQ0054,Excavator,813,92.09,0.649,3.39,33.2,149.6,34.5,0
80,EQ0191,Excavator,4693,97.37,0.61,3.01,44.52,92.8,30.32,0
81,EQ0146,Drill,4088,99.27,0.353,2.56,33.29,104.1,30.28,0
82,EQ0044,Crusher,6303,106.94,0.348,2.6,37.9,88.8,32.52,0
83,EQ0162,Haul Truck,356,91.87,0.462,3.77,44.93,144.0,24.6,0
84,EQ0190,Excavator,8868,106.84,0.611,3.72,34.37,156.8,24.67,0
85,EQ0014,Crusher,137,89.73,0.522,3.06,45.2,102.0,30.1,0
86,EQ0095,Crusher,8752,105.63,0.404,2.74,44.42,109.1,39.65,0
87,EQ0048,Haul Truck,9732,101.54,0.539,3.68,37.83,110.4,18.76,1
88,EQ0015,Crusher,1932,87.69,0.45,2.65,49.29,73.6,15.82,1
89,EQ0200,Crusher,7700,97.46,0.632,3.11,40.62,99.8,26.42,0
90,EQ0190,Crusher,5267,94.59,0.55,3.68,48.82,143.2,34.19,1
91,EQ0040,Excavator,532,100.0,0.453,2.58,54.35,93.7,28.31,0
92,EQ0082,Haul Truck,4251,93.21,0.535,3.41,38.07,122.8,20.98,0
93,EQ0111,Crusher,6511,92.54,0.697,3.26,45.16,80.8,28.47,0
94,EQ0053,Crusher,1851,105.95,0.415,2.98,34.9,115.7,17.6,1
95,EQ0024,Excavator,5097,94.21,0.56,2.5,31.74,103.1,31.77,0
96,EQ0154,Haul Truck,5820,101.61,0.489,2.64,38.44,83.3,26.15,0
97,EQ0188,Drill,7716,93.2,0.564,3.14,29.1,143.7,27.51,0
98,EQ0124,Excavator,356,108.33,0.402,2.29,32.5,145.4,30.56,1
99,EQ0041,Haul Truck,771,89.57,0.517,3.07,44.73,90.9,29.23,0
100,EQ0157,Crusher,589,90.09,0.666,3.27,35.89,113.5,24.75,0
101,EQ0015,Haul Truck,6989,107.2,0.359,3.49,45.68,121.3,34.2,1
102,EQ0045,Haul Truck,2196,91.44,0.301,2.3,42.4,65.6,32.78,0
103,EQ0065,Haul Truck,1782,107.81,0.306,3.66,54.81,78.1,17.35,1
104,EQ0089,Drill,2560,102.13,0.324,3.85,44.19,158.6,26.62,0
105,EQ0071,Haul Truck,4629,93.76,0.589,3.21,48.91,88.0,21.52,0
106,EQ0009,Drill,5221,80.49,0.289,2.48,43.22,157.7,20.39,1
107,EQ0088,Crusher,2075,94.85,0.455,2.84,42.49,79.6,31.21,0
108,EQ0129,Drill,3316,95.81,0.593,2.98,49.32,139.8,25.48,0
109,EQ0136,Crusher,9681,104.34,0.562,3.14,45.35,110.7,27.14,0
110,EQ0063,Crusher,4615,107.71,0.442,3.01,41.68,114.9,23.98,0
111,EQ0139,Drill,5792,89.52,0.529,3.14,41.65,175.7,30.22,1
112,EQ0081,Excavator,9876,101.41,0.516,2.95,44.31,82.4,32.07,1
113,EQ0136,Loader,5039,101.12,0.466,3.13,34.63,137.8,41.02,0
114,EQ0163,Haul Truck,5663,103.59,0.468,2.77,34.29,136.6,26.91,0
115,EQ0163,Loader,3063,98.99,0.835,2.83,51.4,220.6,19.31,0
116,EQ0033,Haul Truck,4629,79.46,0.621,2.71,54.92,87.7,24.98,0
117,EQ0123,Haul Truck,6886,93.76,0.872,3.96,32.57,101.2,33.08,1
118,EQ0005,Crusher,6300,85.75,0.425,3.73,34.65,144.5,23.36,0
119,EQ0041,Haul Truck,1076,93.38,0.487,3.28,49.14,114.0,19.11,0
120,EQ0028,Haul Truck,7445,102.84,0.3,3.66,44.27,106.1,23.49,0
121,EQ0135,Drill,145,97.44,0.379,3.4,45.41,148.7,24.8,0
122,EQ0072,Loader,1293,104.18,0.785,3.09,47.17,112.0,21.5,1
123,EQ0012,Drill,4612,97.73,0.422,2.25,38.07,93.2,29.3,0
124,EQ0162,Haul Truck,5043,84.61,0.788,2.87,42.64,141.8,27.53,0
125,EQ0033,Crusher,6382,74.83,0.313,2.83,42.02,131.3,32.74,0
126,EQ0048,Drill,346,96.19,0.342,2.43,33.13,110.6,25.32,0
127,EQ0151,Drill,3319,93.29,0.449,2.26,42.52,109.2,31.35,0
128,EQ0062,Excavator,9083,87.18,0.49,3.25,49.9,92.6,25.05,0
129,EQ0037,Haul Truck,736,81.39,0.638,3.16,37.33,141.8,21.22,0
130,EQ0099,Crusher,3875,89.12,0.568,2.42,41.22,109.2,24.74,0
131,EQ0172,Drill,2521,93.44,0.438,2.63,41.65,96.9,18.29,0
132,EQ0104,Drill,9380,100.33,0.48,3.58,37.72,81.4,38.73,0
133,EQ0035,Crusher,4283,96.51,0.452,2.56,45.42,131.8,28.85,0
134,EQ0193,Haul Truck,812,107.86,0.363,3.09,34.56,104.7,23.23,0
135,EQ0101,Excavator,5945,86.72,0.367,2.91,50.66,59.6,25.73,0
136,EQ0175,Drill,5423,102.05,0.654,3.25,45.01,83.9,13.3,0
137,EQ0131,Excavator,6132,95.38,0.226,2.57,32.51,113.0,36.61,0
138,EQ0001,Loader,3744,100.56,0.743,3.05,53.58,113.8,36.02,0
139,EQ0005,Haul Truck,7873,91.51,0.449,3.08,41.34,112.7,28.65,0
140,EQ0142,Loader,2208,103.57,0.384,3.12,34.22,108.5,29.92,0
141,EQ0103,Loader,3714,97.36,0.611,3.04,48.84,75.7,20.39,0
142,EQ0027,Loader,9534,89.56,0.723,3.17,43.96,93.8,20.83,0
143,EQ0137,Haul Truck,7057,94.9,0.668,4.1,25.82,155.5,17.82,0
144,EQ0015,Haul Truck,5379,93.08,0.575,4.28,35.79,151.1,27.03,0
145,EQ0090,Crusher,4432,98.91,0.663,2.68,42.23,137.3,34.37,0
146,EQ0042,Excavator,4000,85.56,0.243,1.84,22.72,134.7,25.7,0
147,EQ0124,Excavator,8039,94.77,0.422,3.3,40.68,147.1,30.09,1
148,EQ0179,Crusher,7063,98.16,0.363,3.09,41.26,86.4,33.87,0
149,EQ0063,Crusher,4668,95.26,0.684,3.53,30.53,121.0,18.26,0
150,EQ0096,Loader,7938,105.78,0.442,3.14,42.17,86.4,39.07,0
151,EQ0052,Crusher,1945,101.19,0.627,3.03,40.06,86.9,34.94,0
152,EQ0096,Drill,482,94.94,0.58,3.56,30.47,131.0,31.08,0
153,EQ0132,Excavator,4212,96.73,0.371,3.63,47.36,148.4,33.54,0
154,EQ0151,Crusher,7169,97.37,0.412,2.31,46.7,114.2,33.83,0
155,EQ0143,Drill,3910,98.23,0.694,2.59,37.68,169.5,29.76,0
156,EQ0171,Drill,1609,80.39,0.384,2.95,38.41,126.4,36.57,0
157,EQ0029,Drill,7673,92.59,0.519,3.05,45.81,96.7,25.28,0
158,EQ0036,Drill,1678,83.12,0.383,2.89,38.39,87.4,30.77,0
159,EQ0013,Loader,979,105.23,0.453,3.22,24.55,150.5,35.93,0
160,EQ0160,Drill,2262,94.51,0.493,3.5,43.9,123.9,11.85,0
161,EQ0071,Loader,9864,93.45,0.383,3.86,33.49,140.3,30.63,1
162,EQ0187,Loader,9940,102.17,0.356,3.29,36.88,40.3,32.35,0
163,EQ0086,Drill,7814,98.38,0.543,2.57,51.66,127.3,17.75,0
164,EQ0028,Excavator,1459,85.97,0.373,2.93,38.93,104.6,29.69,0
165,EQ0066,Drill,4531,94.43,0.378,2.96,40.01,78.2,23.24,0
166,EQ0170,Drill,8248,92.32,0.359,3.26,44.08,118.1,30.38,1
167,EQ0045,Drill,4060,81.04,0.488,3.19,44.04,152.8,27.43,0
168,EQ0062,Excavator,3911,89.48,0.642,4.03,32.65,188.0,22.32,0
169,EQ0185,Haul Truck,4342,93.53,0.726,2.77,39.52,127.3,34.66,0
170,EQ0134,Haul Truck,4317,94.08,0.391,3.19,40.29,98.7,25.49,0
171,EQ0028,Loader,180,83.14,0.823,4.18,42.18,96.9,29.62,0
172,EQ0028,Loader,2832,104.21,0.349,2.71,42.31,148.9,35.88,0
173,EQ0108,Excavator,7933,94.18,0.663,3.07,60.7,90.1,22.5,0
174,EQ0044,Crusher,2809,95.3,0.392,2.53,30.59,138.7,28.05,0
175,EQ0084,Haul Truck,2522,98.21,0.369,3.04,47.84,128.8,25.03,0
176,EQ0030,Loader,3741,88.7,0.388,2.61,49.47,125.5,26.37,0
177,EQ0190,Haul Truck,767,98.65,0.492,3.52,43.94,73.0,40.94,0
178,EQ0075,Excavator,2596,92.06,0.587,3.07,34.8,109.3,30.74,0
179,EQ0128,Excavator,3599,87.83,0.6,2.53,53.32,76.3,29.88,0
180,EQ0092,Crusher,9736,99.59,0.358,3.42,22.46,102.4,31.14,0
181,EQ0190,Crusher,9637,106.93,0.352,3.09,34.53,147.5,30.58,1
182,EQ0129,Excavator,8180,100.8,0.363,3.48,49.37,156.9,17.05,0
183,EQ0121,Loader,6923,102.38,0.483,2.43,37.04,126.4,41.78,0
184,EQ0027,Haul Truck,1289,90.83,0.468,3.18,52.77,102.9,19.21,0
185,EQ0190,Drill,6704,82.22,0.357,3.39,27.91,167.6,38.4,0
186,EQ0121,Crusher,8750,106.92,0.54,2.79,31.1,102.5,31.71,0
187,EQ0116,Drill,9504,111.44,0.839,2.37,35.75,85.9,29.08,1
188,EQ0003,Loader,9203,107.34,0.424,2.98,43.34,140.9,26.17,0
189,EQ0103,Crusher,1125,92.31,0.435,3.61,38.22,133.7,43.63,0
190,EQ0198,Drill,7885,85.76,0.584,3.56,36.08,103.7,31.63,0
191,EQ0200,Loader,171,86.47,0.416,2.79,51.36,123.0,28.11,0
192,EQ0155,Haul Truck,5646,81.53,0.6,2.36,52.11,133.3,24.79,0
193,EQ0137,Loader,2785,94.14,0.392,2.78,36.68,126.1,24.07,0
194,EQ0062,Crusher,9485,107.85,0.775,2.77,26.32,133.8,28.3,0
195,EQ0165,Excavator,7472,93.87,0.552,3.22,22.74,104.8,22.42,0
196,EQ0051,Haul Truck,1948,97.42,0.407,2.95,41.91,135.8,32.08,0
197,EQ0172,Drill,2122,106.0,0.412,2.62,45.25,120.5,24.13,0
198,EQ0152,Crusher,6438,91.77,0.423,3.55,40.5,105.8,34.03,0
199,EQ0059,Excavator,3841,111.28,0.706,3.07,39.43,112.6,33.9,1
200,EQ0118,Loader,1398,110.94,0.31,3.22,33.56,117.1,27.67,0
201,EQ0160,Excavator,4202,93.95,0.4,2.14,45.24,76.6,31.48,0
202,EQ0096,Crusher,1004,90.38,0.416,1.79,53.43,100.9,31.78,0
203,EQ0180,Crusher,3126,100.58,0.498,2.28,22.26,121.9,19.23,0
204,EQ0113,Excavator,6809,92.22,0.459,2.76,39.38,79.5,38.39,0
205,EQ0062,Loader,4811,85.75,0.276,3.29,32.24,101.4,26.47,0
206,EQ0186,Excavator,8121,105.25,0.44,1.83,28.08,191.5,32.17,1
207,EQ0052,Crusher,6069,104.73,0.485,3.8,30.96,86.1,32.34,0
208,EQ0012,Crusher,2720,96.24,0.406,3.09,43.04,108.5,13.06,0
209,EQ0039,Drill,2746,84.9,0.603,3.68,43.24,95.0,24.06,0
210,EQ0130,Drill,4965,85.16,0.638,2.56,51.68,116.5,33.04,0
211,EQ0131,Haul Truck,7445,95.86,0.488,3.25,40.07,95.6,28.37,0
212,EQ0113,Crusher,2389,91.0,0.535,3.04,25.93,112.7,32.13,0
213,EQ0101,Drill,7470,92.27,0.176,3.41,38.09,98.4,28.55,0
214,EQ0113,Excavator,3972,103.18,0.437,2.88,28.91,151.7,35.38,1
215,EQ0184,Loader,9777,100.87,0.651,3.24,30.35,122.4,28.68,0
216,EQ0081,Excavator,7790,106.03,0.436,3.55,44.64,89.9,36.54,0
217,EQ0187,Loader,1540,87.08,0.389,2.67,41.55,145.2,22.12,0
218,EQ0113,Drill,865,92.25,0.842,3.12,44.7,91.3,27.23,1
219,EQ0002,Haul Truck,4192,101.07,0.773,2.06,37.14,73.1,24.44,1
220,EQ0130,Excavator,9441,98.58,0.57,3.35,46.32,119.9,30.33,0
221,EQ0054,Excavator,2766,107.26,0.671,3.98,36.69,177.2,26.33,0
222,EQ0087,Excavator,8755,98.36,0.166,2.38,48.93,65.2,26.62,0
223,EQ0129,Loader,6068,109.78,0.382,2.95,42.76,80.1,23.77,0
224,EQ0147,Drill,7741,99.32,0.43,3.44,38.34,142.6,25.24,1
225,EQ0126,Excavator,2281,103.5,0.465,3.02,41.7,100.7,27.94,0
226,EQ0130,Excavator,9934,92.41,0.427,3.08,39.86,138.4,15.87,0
227,EQ0053,Haul Truck,3988,95.11,0.117,2.8,52.77,94.9,14.19,0
228,EQ0172,Haul Truck,940,102.29,0.558,2.79,41.96,124.3,28.35,1
229,EQ0160,Drill,5999,107.9,0.582,2.96,39.99,172.3,11.38,1
230,EQ0198,Drill,4218,100.83,0.74,3.02,38.09,84.2,26.84,1
231,EQ0160,Crusher,665,94.33,0.382,2.41,46.75,150.7,25.74,0
232,EQ0068,Haul Truck,6105,106.02,0.369,2.97,45.66,140.4,31.25,0
233,EQ0183,Crusher,9256,77.46,0.098,3.78,37.81,75.3,23.97,0
234,EQ0184,Loader,9287,83.62,0.456,2.79,30.75,136.8,37.42,0
235,EQ0123,Crusher,7326,100.45,0.635,2.38,32.78,122.2,33.09,0
236,EQ0145,Excavator,9479,95.11,0.408,2.92,38.53,122.7,18.93,0
237,EQ0038,Crusher,5990,99.84,0.822,2.64,50.79,130.1,26.29,0
238,EQ0024,Drill,4411,95.52,0.462,2.33,38.0,109.5,37.16,1
239,EQ0069,Loader,7836,99.57,0.522,3.07,35.25,122.1,23.81,0
240,EQ0116,Excavator,8948,88.48,0.296,2.64,25.91,127.2,27.68,0
241,EQ0098,Crusher,3082,99.56,0.543,2.69,52.11,142.4,36.42,0
242,EQ0198,Loader,9405,102.96,0.203,3.08,44.55,74.2,24.76,0
243,EQ0139,Loader,6183,104.76,0.604,2.23,46.37,158.7,34.74,0
244,EQ0144,Excavator,656,111.11,0.609,2.13,47.69,85.3,22.54,0
245,EQ0097,Crusher,3119,96.95,0.704,3.34,38.68,142.8,10.67,0
246,EQ0124,Loader,2680,97.19,0.347,2.03,40.68,122.4,35.37,0
247,EQ0187,Loader,8246,82.81,0.524,2.51,51.91,81.6,30.63,1
248,EQ0070,Haul Truck,8343,90.75,0.585,2.1,41.44,135.8,31.03,0
249,EQ0093,Loader,9653,93.46,0.566,2.76,44.7,91.6,21.44,0
250,EQ0003,Haul Truck,9486,103.4,0.37,3.21,46.96,152.1,21.92,1
251,EQ0148,Crusher,4119,90.11,0.141,3.06,45.14,98.7,34.9,0
252,EQ0187,Crusher,3238,101.37,0.552,4.2,38.97,75.2,29.46,0
253,EQ0164,Crusher,9940,94.99,0.477,3.54,39.73,166.0,27.3,0
254,EQ0147,Drill,771,93.58,0.415,2.53,46.22,125.4,29.33,0
255,EQ0090,Crusher,877,96.99,0.615,2.4,46.21,146.0,37.05,0
256,EQ0195,Loader,5027,91.87,0.493,4.35,49.35,94.5,32.34,0
257,EQ0147,Excavator,3122,91.57,0.302,3.53,44.41,63.2,25.15,1
258,EQ0148,Haul Truck,1960,81.36,0.21,3.29,44.77,170.3,19.58,0
259,EQ0096,Drill,3239,93.02,0.331,3.04,36.43,119.8,31.53,0
260,EQ0199,Crusher,1174,91.16,0.859,3.14,35.35,134.7,22.46,0
261,EQ0052,Crusher,9575,90.87,0.608,2.26,46.25,139.7,20.91,0
262,EQ0161,Excavator,6863,98.33,0.528,3.08,35.41,109.9,35.89,0
263,EQ0168,Excavator,2086,100.27,0.473,3.04,39.83,126.8,33.23,0
264,EQ0128,Drill,9293,96.86,0.463,2.55,51.03,167.8,30.31,0
265,EQ0039,Haul Truck,6427,102.96,0.675,2.73,49.76,119.0,20.57,0
266,EQ0082,Crusher,1146,99.6,0.426,3.76,42.41,148.3,38.74,0
267,EQ0104,Drill,2276,92.64,0.587,2.94,37.63,60.3,34.17,0
268,EQ0129,Loader,2438,91.3,0.448,4.04,39.01,153.7,26.18,0
269,EQ0011,Loader,600,97.5,0.791,2.13,46.94,74.3,24.91,0
270,EQ0185,Drill,2333,99.59,0.611,2.74,39.71,150.3,28.47,0
271,EQ0178,Crusher,4708,106.18,0.687,2.23,35.53,131.7,25.13,0
272,EQ0151,Drill,7334,104.53,0.412,2.4,49.73,117.1,41.27,0
273,EQ0159,Crusher,8072,90.67,0.659,2.59,41.45,117.0,25.69,1
274,EQ0042,Excavator,6710,94.18,0.453,3.16,35.38,112.4,21.59,0
275,EQ0099,Drill,700,100.37,0.517,3.13,43.83,95.4,37.53,0
276,EQ0007,Crusher,4384,103.54,0.745,2.66,47.77,113.8,24.59,0
277,EQ0144,Drill,9280,102.51,0.344,1.89,31.94,186.2,32.72,0
278,EQ0090,Drill,4583,94.49,0.53,3.74,38.4,159.1,32.05,0
279,EQ0112,Crusher,6001,84.97,0.566,2.86,38.03,93.9,27.65,0
280,EQ0060,Crusher,6229,87.01,0.578,2.44,43.62,128.0,22.16,0
281,EQ0113,Haul Truck,1854,97.18,0.432,3.14,45.06,122.9,27.71,0
282,EQ0002,Drill,2564,97.74,0.813,3.1,35.59,115.7,20.98,1
283,EQ0129,Loader,4582,86.21,0.306,2.84,28.06,89.9,27.86,0
284,EQ0048,Drill,9786,95.36,0.719,3.07,48.25,133.4,32.64,1
285,EQ0140,Drill,9144,100.05,0.682,2.42,31.04,145.4,38.31,1
286,EQ0197,Crusher,7500,85.79,0.785,3.38,42.17,95.0,21.47,1
287,EQ0037,Drill,6906,103.84,0.262,2.5,38.94,178.7,26.5,0
288,EQ0160,Drill,8743,91.98,0.37,2.7,41.3,165.7,24.85,1
289,EQ0009,Loader,7496,105.06,0.724,3.32,53.21,136.4,29.64,0
290,EQ0099,Crusher,7438,90.73,0.218,3.6,64.31,83.0,18.87,0
291,EQ0147,Drill,5341,86.79,0.259,3.79,26.93,132.0,22.43,0
292,EQ0048,Excavator,7494,91.33,0.427,3.53,47.87,128.5,17.85,0
293,EQ0131,Haul Truck,6537,94.24,0.529,2.84,38.75,135.4,19.37,0
294,EQ0148,Loader,4795,91.89,0.739,2.23,48.38,167.7,24.04,0
295,EQ0152,Drill,2688,93.27,0.472,3.7,47.66,114.7,38.03,0
296,EQ0054,Excavator,1882,97.67,0.409,3.69,51.28,181.4,30.09,0
297,EQ0120,Drill,6047,93.63,0.547,2.66,42.28,132.2,28.39,0
298,EQ0161,Drill,6694,94.47,0.57,3.46,32.88,111.3,36.08,0
299,EQ0152,Crusher,3620,81.33,0.566,2.83,47.42,192.0,30.3,0
300,EQ0116,Crusher,3318,98.13,0.473,3.75,40.94,144.9,30.87,0
301,EQ0075,Crusher,3857,94.29,0.207,2.74,38.13,106.4,25.16,0
302,EQ0113,Excavator,4116,107.88,0.362,3.99,36.19,122.5,24.18,0
303,EQ0200,Drill,2937,87.48,0.713,3.39,48.05,139.1,20.13,1
304,EQ0164,Haul Truck,6100,80.53,0.528,3.9,52.83,115.5,24.39,0
305,EQ0166,Loader,7134,99.94,0.452,2.77,30.44,124.0,26.32,0
306,EQ0104,Crusher,7409,97.77,0.668,3.2,44.98,95.5,30.07,0
307,EQ0084,Crusher,4339,86.93,0.33,2.52,37.02,69.4,27.78,0
308,EQ0112,Drill,4528,82.76,0.466,3.42,28.26,123.2,25.81,1
309,EQ0099,Drill,9711,107.3,0.521,3.45,41.18,124.2,22.53,0
310,EQ0153,Excavator,4250,106.31,0.434,4.2,33.33,135.8,30.39,0
311,EQ0093,Excavator,9622,75.1,0.515,3.24,27.38,102.7,25.01,1
312,EQ0146,Crusher,1546,91.33,0.472,3.36,33.75,79.8,30.12,0
313,EQ0128,Drill,9732,108.31,0.29,2.76,31.78,91.0,16.52,1
314,EQ0110,Haul Truck,6568,91.19,0.527,3.27,34.83,151.7,30.02,0
315,EQ0082,Loader,5890,91.08,0.301,2.81,29.39,100.0,32.48,0
316,EQ0194,Drill,4275,92.74,0.525,3.06,36.84,106.7,31.72,0
317,EQ0054,Drill,5180,86.03,0.706,3.09,34.29,110.6,26.82,0
318,EQ0163,Excavator,964,81.36,0.458,2.82,43.0,101.4,33.49,0
319,EQ0189,Loader,6960,103.42,0.324,3.03,44.75,99.2,20.36,1
320,EQ0169,Crusher,8763,80.26,0.481,2.81,42.08,93.9,27.46,1
321,EQ0161,Drill,6317,96.98,0.375,2.81,38.12,162.0,26.84,0
322,EQ0068,Crusher,5772,102.09,0.589,3.54,37.9,140.4,34.22,0
323,EQ0033,Drill,1602,83.39,0.478,3.09,33.3,157.4,15.88,0
324,EQ0142,Crusher,4784,87.61,0.756,3.17,33.5,163.5,21.65,0
325,EQ0021,Loader,1510,104.71,0.674,2.27,45.63,49.5,38.48,0
326,EQ0048,Excavator,3870,99.26,0.477,3.21,25.92,130.3,13.42,0
327,EQ0148,Loader,4759,90.06,0.607,3.27,39.35,102.4,32.89,0
328,EQ0128,Haul Truck,4101,104.62,0.441,2.8,37.41,153.5,23.8,1
329,EQ0136,Excavator,3583,104.65,0.505,4.04,44.79,97.8,29.53,0
330,EQ0135,Loader,4662,97.15,0.446,1.86,28.6,88.4,36.48,0
